//  CHAIN NAME: 'chain0'
//  CHAIN LENGTH: 5051
//  SCAN INPUT: '/scan_in_0'
//  SCAN OUTPUT: '/scan_out_0'
cell#  chain   cell_type  inv   gate#   shift_clock     inv  cell_name  instance_name                                                                                                           lib_internal_pathname  pin_names  
-----  ------  ---------  ----  ------  -------------------  ---------  ----------------------------------------------------------------------------------------------------------------------  ---------------------  ---------  
0      chain0  MASTER     FFFF  581843  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_instr_status_ex_reg_0_                               (SI,Q)     
               TLA        ----  582423  /io_in_bus[28]  F    TLATNXL    /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/ts_0_lockup_latchn_clkc1_intno2649_i                         (D,Q)      
1      chain0  MASTER     FFFF  581842  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_1_                                   (SI,Q)     
2      chain0  MASTER     FFFF  581841  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_0_                                   (SI,Q)     
3      chain0  MASTER     FFFF  581840  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_12_                                  (SI,Q)     
4      chain0  MASTER     FFFF  581839  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_2_                                   (SI,Q)     
5      chain0  MASTER     FFFF  581838  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_17_                                  (SI,Q)     
6      chain0  MASTER     FFFF  581837  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_16_                                  (SI,Q)     
7      chain0  MASTER     FFFF  581836  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_18_                                  (SI,Q)     
8      chain0  MASTER     FFFF  581835  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_15_                                  (SI,Q)     
9      chain0  MASTER     FFFF  581834  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_14_                                  (SI,Q)     
10     chain0  MASTER     FFFF  581833  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_19_                                  (SI,Q)     
11     chain0  MASTER     FFFF  581832  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_20_                                  (SI,Q)     
12     chain0  MASTER     FFFF  581831  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_3_                                   (SI,Q)     
13     chain0  MASTER     FFFF  581830  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_13_                                  (SI,Q)     
14     chain0  MASTER     FFFF  581829  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_11_                                  (SI,Q)     
15     chain0  MASTER     FFFF  581828  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_10_                                  (SI,Q)     
16     chain0  MASTER     FFFF  581827  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_22_                                  (SI,Q)     
17     chain0  MASTER     FFFF  581826  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_8_                                   (SI,Q)     
18     chain0  MASTER     FFFF  581825  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_6_                                   (SI,Q)     
19     chain0  MASTER     FFFF  581824  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_4_                                   (SI,Q)     
20     chain0  MASTER     FFFF  581823  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_9_                                   (SI,Q)     
21     chain0  MASTER     FFFF  581822  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_7_                                   (SI,Q)     
22     chain0  MASTER     FFFF  581821  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_rs0_data_ex_reg_5_                                   (SI,Q)     
23     chain0  MASTER     FFFF  581786  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_control_ex_reg_10_                                   (SI,Q)     
24     chain0  MASTER     FFFF  581785  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_control_ex_reg_11_                                   (SI,Q)     
25     chain0  MASTER     FFFF  581769  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_control_ex_reg_4_                                    (SI,Q)     
26     chain0  MASTER     FFFF  581768  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_control_ex_reg_6_                                    (SI,Q)     
27     chain0  MASTER     FFFF  581767  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_control_ex_reg_16_                                   (SI,Q)     
28     chain0  MASTER     FFFF  581766  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_control_ex_reg_17_                                   (SI,Q)     
29     chain0  MASTER     FFFF  581765  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_control_ex_reg_5_                                    (SI,Q)     
30     chain0  MASTER     FFFF  581764  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_control_ex_reg_7_                                    (SI,Q)     
31     chain0  MASTER     FFFF  581763  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_control_ex_reg_8_                                    (SI,Q)     
32     chain0  MASTER     FFFF  581762  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_control_ex_reg_1_                                    (SI,Q)     
33     chain0  MASTER     FFFF  581761  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_control_ex_reg_3_                                    (SI,Q)     
34     chain0  MASTER     FFFF  581760  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_control_ex_reg_9_                                    (SI,Q)     
35     chain0  MASTER     FFFF  581759  /io_in_bus[28]  T    SDFFRHQX1  /U_cpu_sys_top/U_cpu_subsys_core/U_ag101_core/cpu_subsystem/n8_core/ucore/iiu_ctl/iiu_ieu_control_ex_reg_2_                                    (SI,Q)     
