=================================================================================
name             type       length  si_so_clocks  state   is_non_scannable_reason
---------------  ---------  ------  ------------  ------  -----------------------
/\H_reg_reg[6]   leaf_cell  1       +clk          usable  --                     
/\H_reg_reg[7]   leaf_cell  1       +clk          usable  --                     
/\H_reg_reg[5]   leaf_cell  1       +clk          usable  --                     
/\M_reg_reg[7]   leaf_cell  1       +clk          usable  --                     
/\H_reg_reg[1]   leaf_cell  1       +clk          usable  --                     
/pm_reg_reg      leaf_cell  1       +clk          usable  --                     
/\H_reg_reg[3]   leaf_cell  1       +clk          usable  --                     
/\H_reg_reg[2]   leaf_cell  1       +clk          usable  --                     
/\M_reg_reg[3]   leaf_cell  1       +clk          usable  --                     
/\H_reg_reg[4]   leaf_cell  1       +clk          usable  --                     
/\M_reg_reg[1]   leaf_cell  1       +clk          usable  --                     
/\S_reg_reg[5]   leaf_cell  1       +clk          usable  --                     
/\M_reg_reg[5]   leaf_cell  1       +clk          usable  --                     
/\M_reg_reg[4]   leaf_cell  1       +clk          usable  --                     
/\S_reg_reg[7]   leaf_cell  1       +clk          usable  --                     
/\M_reg_reg[6]   leaf_cell  1       +clk          usable  --                     
/\H_reg_reg[0]   leaf_cell  1       +clk          usable  --                     
/\S_reg_reg[3]   leaf_cell  1       +clk          usable  --                     
/\M_reg_reg[2]   leaf_cell  1       +clk          usable  --                     
/\S_reg_reg[2]   leaf_cell  1       +clk          usable  --                     
/\S_reg_reg[4]   leaf_cell  1       +clk          usable  --                     
/\M_reg_reg[0]   leaf_cell  1       +clk          usable  --                     
/\S_reg_reg[6]   leaf_cell  1       +clk          usable  --                     
/\S_reg_reg[1]   leaf_cell  1       +clk          usable  --                     
/\S_reg_reg[0]   leaf_cell  1       +clk          usable  --                     
