Scan mode 'unwrapped' scan cells:
-----------------------------------------------------------------------------------------------------------------
CellNo  ChainName  GroupName  Pathname                           CellName           ScanOut  Clock  ClockPolarity
-----------------------------------------------------------------------------------------------------------------
-       chain0     dummy      /ts_lockup_latchp_clkc1_intno31_i  active_high_latch           clk    (-)          
0       chain0     dummy      /q_reg[0]                          SDFF_X2            Q        clk    (+)          
1       chain0     dummy      /q_reg[28]                         SDFF_X2            Q        clk    (+)          
2       chain0     dummy      /q_reg[12]                         SDFF_X2            Q        clk    (+)          
3       chain0     dummy      /q_reg[11]                         SDFF_X2            Q        clk    (+)          
4       chain0     dummy      /q_reg[10]                         SDFF_X2            Q        clk    (+)          
5       chain0     dummy      /q_reg[9]                          SDFF_X2            Q        clk    (+)          
6       chain0     dummy      /q_reg[8]                          SDFF_X2            Q        clk    (+)          
7       chain0     dummy      /q_reg[7]                          SDFF_X2            Q        clk    (+)          
8       chain0     dummy      /q_reg[29]                         SDFF_X2            Q        clk    (+)          
9       chain0     dummy      /q_reg[5]                          SDFF_X2            Q        clk    (+)          
10      chain0     dummy      /q_reg[4]                          SDFF_X2            Q        clk    (+)          
11      chain0     dummy      /q_reg[3]                          SDFF_X2            Q        clk    (+)          
12      chain0     dummy      /q_reg[2]                          SDFF_X2            Q        clk    (+)          
13      chain0     dummy      /q_reg[31]                         SDFF_X2            Q        clk    (+)          
14      chain0     dummy      /q_reg[30]                         SDFF_X2            Q        clk    (+)          
15      chain0     dummy      /q_reg[6]                          SDFF_X2            Q        clk    (+)          
16      chain0     dummy      /q_reg[1]                          SDFF_X2            Q        clk    (+)          
17      chain0     dummy      /q_reg[26]                         SDFF_X2            Q        clk    (+)          
18      chain0     dummy      /q_reg[25]                         SDFF_X2            Q        clk    (+)          
19      chain0     dummy      /q_reg[24]                         SDFF_X2            Q        clk    (+)          
20      chain0     dummy      /q_reg[23]                         SDFF_X2            Q        clk    (+)          
21      chain0     dummy      /q_reg[22]                         SDFF_X2            Q        clk    (+)          
22      chain0     dummy      /q_reg[21]                         SDFF_X2            Q        clk    (+)          
23      chain0     dummy      /q_reg[20]                         SDFF_X2            Q        clk    (+)          
24      chain0     dummy      /q_reg[19]                         SDFF_X2            Q        clk    (+)          
25      chain0     dummy      /q_reg[18]                         SDFF_X2            Q        clk    (+)          
26      chain0     dummy      /q_reg[17]                         SDFF_X2            Q        clk    (+)          
27      chain0     dummy      /q_reg[16]                         SDFF_X2            Q        clk    (+)          
28      chain0     dummy      /q_reg[15]                         SDFF_X2            Q        clk    (+)          
29      chain0     dummy      /q_reg[14]                         SDFF_X2            Q        clk    (+)          
30      chain0     dummy      /q_reg[13]                         SDFF_X2            Q        clk    (+)          
31      chain0     dummy      /q_reg[27]                         SDFF_X2            Q        clk    (+)          
-----------------------------------------------------------------------------------------------------------------

